SALES DETAILS - BRIEF-,,,,,,,,,,,
Code,Date,Customer Name,Nett Amt,Cash Amt,Card  Amt,Sodexho,Cheque,Others,Credit,,
SI18721,08/01/2023,SARAVANA AGENCIES,90,90,,,,,,,
SI18722,08/01/2023,CASH,945,945,,,,,,,
SI18723,08/01/2023,CASH,1720,1720,,,,,,,
SI18724,08/01/2023,CASH,394,394,,,,,,,
SI18725,08/01/2023,CASH,210,210,,,,,,,
SI18726,08/01/2023,CASH,184,184,,,,,,,
SI18727,08/01/2023,CASH,306,306,,,,,,,
SI18728,08/01/2023,CASH,337,337,,,,,,,
SI18729,08/01/2023,CASH,610,610,,,,,,,
SI18730,08/01/2023,CASH,216,216,,,,,,,
SI18731,08/01/2023,CASH,213,213,,,,,,,
SI18732,08/01/2023,CASH,1710,1710,,,,,,,
SI18733,08/01/2023,CASH,1370,1370,,,,,,,
SI18734,08/01/2023,CASH,500,500,,,,,,,
SI18735,08/01/2023,CASH,140,140,,,,,,,
SI18736,08/01/2023,CASH,264,264,,,,,,,
SI18737,08/01/2023,SELVAKUMAR PROVISION STORE,14830,14830,,,,,,,
SI18738,08/01/2023,CASH,945,945,,,,,,,
SI18739,08/01/2023,CASH,652,652,,,,,,,
SI18740,08/01/2023,CASH,1600,1600,,,,,,,
SI18741,08/01/2023,CASH,248,248,,,,,,,
SI18742,08/01/2023,CASH,1130,1130,,,,,,,
SI18743,08/01/2023,SEKAR STORE,52800,52800,,,,,,,
SI18744,08/01/2023,MUTHUMALAI AMMAN STORE,17735,17735,,,,,,,
SI18745,08/01/2023,LINGAM STORE (LOCAL),3016,3016,,,,,,,
SI18746,08/01/2023,REDDY ANDHRA MESS,5340,5340,,,,,,,
SI18747,08/01/2023,CASH,7197,7197,,,,,,,
SI18748,08/01/2023,CASH,426,426,,,,,,,
SI18749,08/01/2023,CASH,3115,3115,,,,,,,
SI18750,08/01/2023,CASH,317,317,,,,,,,
SI18751,08/01/2023,CASH,2640,2640,,,,,,,
SI18752,08/01/2023,CASH,8160,8160,,,,,,,
SI18753,08/01/2023,CASH,880,880,,,,,,,
SI18754,08/01/2023,CASH,1020,1020,,,,,,,
SI18755,08/01/2023,CASH,657,657,,,,,,,
SI18756,08/01/2023,SARAN SWEETS,4085,4085,,,,,,,
SI18757,08/01/2023,VENKATESWARA SWEETS,1575,1575,,,,,,,
SI18758,08/01/2023,CASH,880,880,,,,,,,
SI18759,08/01/2023,ARCHANA STORE,2640,2640,,,,,,,
SI18760,08/01/2023,CHANDRA SUPER MARKET,2971,2971,,,,,,,
SI18761,08/01/2023,CASH,1063,1063,,,,,,,
SI18762,08/01/2023,CASH,303,303,,,,,,,
SI18763,08/01/2023,CASH,1220,1220,,,,,,,
SI18764,08/01/2023,AP SELVAM STORE,4300,4300,,,,,,,
SI18765,08/01/2023,ISMAIL STORE(KIL),4015,4015,,,,,,,
SI18766,08/01/2023,JAMAILA STORE,11534,11534,,,,,,,
SI18767,08/01/2023,CASH,782,782,,,,,,,
SI18768,08/01/2023,CASH,1087,1087,,,,,,,
SI18769,08/01/2023,HANEEFA SUPER MARKET,15364,15364,,,,,,,
SI18770,08/01/2023,CASH,850,850,,,,,,,
SI18771,08/01/2023,NEW SELVAKUMAR STORE(NEW),11430,11430,,,,,,,
SI18772,08/01/2023,CASH,905,905,,,,,,,
SI18773,08/01/2023,GANESH STORE(SHENOY),12368,12368,,,,,,,
SI18774,08/01/2023,CASH,480,480,,,,,,,
SI18775,08/01/2023,SENTHIL VEL STORE,12102,12102,,,,,,,
SI18776,08/01/2023,CASH,3990,3990,,,,,,,
SI18777,08/01/2023,SARAVANA AGENCIES,6700,6700,,,,,,,
SI18778,08/01/2023,VANAJA STORE,15163,15163,,,,,,,
SI18779,08/01/2023,CASH,5250,5250,,,,,,,
SI18780,08/01/2023,AVP CHANDRA STORE,6692,6692,,,,,,,
SI18781,08/01/2023,CASH,1100,1100,,,,,,,
SI18782,08/01/2023,CASH,1225,1225,,,,,,,
SI18783,08/01/2023,CASH,470,470,,,,,,,
SI18784,08/01/2023,CASH,1573,1573,,,,,,,
SI18785,08/01/2023,CASH,2120,2120,,,,,,,
SI18786,08/01/2023,CASH,3250,3250,,,,,,,
SI18787,08/01/2023,CASH,1740,1740,,,,,,,
SI18788,08/01/2023,CASH,1130,1130,,,,,,,
SI18789,08/01/2023,JAYARAM STORE,1832,1832,,,,,,,
SI18790,08/01/2023,CHANDRA STORE,1760,1760,,,,,,,
SI18791,08/01/2023,CASH,468,468,,,,,,,
SI18792,08/01/2023,CASH,415,415,,,,,,,
SI18793,08/01/2023,CASH,300,300,,,,,,,
SI18794,08/01/2023,CASH,880,880,,,,,,,
SI18795,08/01/2023,AYYANAR STORE (Y-20),14230,14230,,,,,,,
SI18796,08/01/2023,CASH,467,467,,,,,,,
SI18797,08/01/2023,CASH,1668,1668,,,,,,,
SI18798,08/01/2023,CASH,724,724,,,,,,,
SI18799,08/01/2023,CASH,474,474,,,,,,,
SI18800,08/01/2023,CASH,645,645,,,,,,,
SI18801,08/01/2023,CASH,515,515,,,,,,,
SI18802,08/01/2023,CASH,1406,1406,,,,,,,
SI18803,08/01/2023,CASH,850,850,,,,,,,
SI18804,08/01/2023,CASH,1340,1340,,,,,,,
SI18805,08/01/2023,ROBERT STORE(TP),1770,1770,,,,,,,
SI18806,08/01/2023,CASH,176,176,,,,,,,
SI18807,08/01/2023,CASH,1770,1770,,,,,,,
SI18808,08/01/2023,CASH,126,126,,,,,,,
SI18809,08/01/2023,CASH,290,290,,,,,,,
SI18810,08/01/2023,CASH,150,150,,,,,,,
SI18811,08/01/2023,CASH,184,184,,,,,,,
SI18812,08/01/2023,CASH,477,477,,,,,,,
SI18813,08/01/2023,CASH,615,615,,,,,,,
SI18814,08/01/2023,CASH,80,80,,,,,,,
SI18815,08/01/2023,CASH,110,110,,,,,,,
SI18816,08/01/2023,CASH,355,355,,,,,,,
SI18817,08/01/2023,CASH,792,792,,,,,,,
SI18818,08/01/2023,AYYANAR STORE(NAVEL),4220,4220,,,,,,,
SI18819,08/01/2023,CASH,1730,1730,,,,,,,
SI18820,08/01/2023,MURUGAN STORE (18TH),4435,4435,,,,,,,
SI18821,08/01/2023,PADMA STORE,7652,7652,,,,,,,
SI18822,08/01/2023,CASH,1575,1575,,,,,,,
SI18823,08/01/2023,CASH,282,282,,,,,,,
SI18824,08/01/2023,SRI RAMAJAYAM STORE,6635,6635,,,,,,,
SI18825,08/01/2023,DHANALAKSHMI STORE,6115,6115,,,,,,,
SI18826,08/01/2023,SAKTHI STORE (KAT),13910,13910,,,,,,,
SI18827,08/01/2023,CASH,521,521,,,,,,,
SI18828,08/01/2023,ARTHI FISH STORE,1342,1342,,,,,,,
SI18829,08/01/2023,CASH,517,517,,,,,,,
SI18830,08/01/2023,KPN FARM FRESH PRIVATE LIMITED(VANAGARAM),219828,219828,,,,,,,
SI18831,08/01/2023,CASH,5700,5700,,,,,,,
SI18832,08/01/2023,ISHWARYA SWEETS,6300,6300,,,,,,,
SI18833,08/01/2023,CASH,1080,1080,,,,,,,
SI18834,08/01/2023,KPN FARM FRESH PRIVATE LIMITED(VANAGARAM),29670,29670,,,,,,,
SI18835,08/01/2023,D.S.NAIDU STORE,39545,39545,,,,,,,
SI18836,08/01/2023,THIRUPATHI STORE,24680,24680,,,,,,,
SI18837,08/01/2023,SRI BALAMURUGAN STORE,5630,5630,,,,,,,
SI18838,08/01/2023,SOWTHA STORE,3874,3874,,,,,,,
SI18839,08/01/2023,RAJA STORE (ARUM),7815,7815,,,,,,,
SI18840,08/01/2023,LAKSHMAN & LAKSHMI SWEETS,3880,3880,,,,,,,
SI18841,08/01/2023,SRI GANESH STORE (JAI),6686,6686,,,,,,,
SI18842,08/01/2023,INDIRA STORE (11 TH),2519,2519,,,,,,,
SI18843,08/01/2023,JAYALAKSHMI STORE(ARUM),1760,1760,,,,,,,
SI18844,08/01/2023,CASH,1130,1130,,,,,,,
SI18845,08/01/2023,CASH,100,100,,,,,,,
SI18846,08/01/2023,RENGA STORE,24380,24380,,,,,,,
SI18847,08/01/2023,PATHUBANATHAN STORE,4140,4140,,,,,,,
SI18848,08/01/2023,CASH,120,120,,,,,,,
SI18849,08/01/2023,SIVA STORE (THANGA COLONY),4825,4825,,,,,,,
SI18850,08/01/2023,THIRUVENI HOTEL,1014,1014,,,,,,,
SI18851,08/01/2023,CASH,520,520,,,,,,,
SI18852,08/01/2023,CASH,585,585,,,,,,,
SI18853,08/01/2023,CASH,727,727,,,,,,,
SI18854,08/01/2023,CASH,1014,1014,,,,,,,
SI18855,08/01/2023,CASH,635,635,,,,,,,
SI18856,08/01/2023,CASH,524,524,,,,,,,
SI18857,08/01/2023,CASH,4020,4020,,,,,,,
SI18858,08/01/2023,S.S.S.STORE,1760,1760,,,,,,,
SI18859,08/01/2023,PATHRAKALI STORE,3111,3111,,,,,,,
SI18860,08/01/2023,SENTHIL TRADERS,4400,4400,,,,,,,
SI18861,08/01/2023,JAYALAKSHMI SUPER  MARKET,26635,26635,,,,,,,
SI18862,08/01/2023,CASH,520,520,,,,,,,
SI18863,08/01/2023,IBRAHIM STORE,2779,2779,,,,,,,
SI18864,08/01/2023,CASH,360,360,,,,,,,
SI18865,08/01/2023,CASH,1770,1770,,,,,,,
SI18866,08/01/2023,CASH,920,920,,,,,,,
SI18867,08/01/2023,CASH,600,600,,,,,,,
SI18868,08/01/2023,CASH,919,919,,,,,,,
SI18869,08/01/2023,CASH,229,229,,,,,,,
SI18870,08/01/2023,CASH,1080,1080,,,,,,,
SI18871,08/01/2023,CASH,705,705,,,,,,,
SI18872,08/01/2023,CASH,488,488,,,,,,,
SI18873,08/01/2023,CASH,2595,2595,,,,,,,
SI18874,08/01/2023,CASH,1910,1910,,,,,,,
SI18875,08/01/2023,PANI POORI,1575,1575,,,,,,,
SI18876,08/01/2023,SAIS PROVISION STORE,2409,2409,,,,,,,
SI18877,08/01/2023,CASH,590,590,,,,,,,
SI18878,08/01/2023,SELVAM STORE (NSK),3144,3144,,,,,,,
SI18879,08/01/2023,CASH,620,620,,,,,,,
SI18880,08/01/2023,UDIPI SANKAR BHAVAN,1220,1220,,,,,,,
SI18881,08/01/2023,CASH,5750,5750,,,,,,,
SI18882,08/01/2023,CASH,6984,6984,,,,,,,
SI18883,08/01/2023,CASH,6917,6917,,,,,,,
SI18884,08/01/2023,CASH,637,637,,,,,,,
SI18885,08/01/2023,CASH,7800,7800,,,,,,,
SI18886,08/01/2023,CASH,590,590,,,,,,,
SI18887,08/01/2023,CASH,433,433,,,,,,,
SI18888,08/01/2023,CASH,1130,1130,,,,,,,
SI18889,08/01/2023,CASH,890,890,,,,,,,
SI18890,08/01/2023,CASH,849,849,,,,,,,
SI18891,08/01/2023,CASH,1415,1415,,,,,,,
SI18892,08/01/2023,CASH,260,260,,,,,,,
SI18893,08/01/2023,CASH,669,669,,,,,,,
SI18894,08/01/2023,CASH,682,682,,,,,,,
SI18895,08/01/2023,CASH,865,865,,,,,,,
SI18896,08/01/2023,CASH,2245,2245,,,,,,,
SI18897,08/01/2023,CASH,1024,1024,,,,,,,
SI18898,08/01/2023,CASH,880,880,,,,,,,
SI18899,08/01/2023,CASH,816,816,,,,,,,
SI18900,08/01/2023,CASH,1122,1122,,,,,,,
SI18901,08/01/2023,CASH,160,160,,,,,,,
SI18902,08/01/2023,NANDAN STORE,13005,13005,,,,,,,
,,,,,,,,,,,
,,Total,874240,874240,0,0,0,0,0,0,
