SALES DETAILS - BRIEF-,,,,,,,,,,,
Code,Date,Customer Name,Nett Amt,Cash Amt,Card  Amt,Sodexho,Cheque,Others,Credit,,
SI18510,31/07/23,CASH,54,54,,,,,,,
SI18511,31/07/23,CASH,3160,3160,,,,,,,
SI18512,31/07/23,CASH,4600,4600,,,,,,,
SI18513,31/07/23,BHARANI BHAVAN,20005,20005,,,,,,,
SI18514,31/07/23,BHARANI FAST FOODS,10905,10905,,,,,,,
SI18515,31/07/23,BARANI STORE,7790,7790,,,,,,,
SI18516,31/07/23,BARANI STORE(59),7790,7790,,,,,,,
SI18517,31/07/23,CASH,1540,1540,,,,,,,
SI18518,31/07/23,CASH,265,265,,,,,,,
SI18519,31/07/23,CASH,623,623,,,,,,,
SI18520,31/07/23,GANAPATHI BHAVAN,4450,4450,,,,,,,
SI18521,31/07/23,CASH,609,609,,,,,,,
SI18522,31/07/23,CASH,207,207,,,,,,,
SI18523,31/07/23,CASH,124,124,,,,,,,
SI18524,31/07/23,NANDAN STORE,13130,13130,,,,,,,
SI18525,31/07/23,BISMILLAH STORE,4065,4065,,,,,,,
SI18526,31/07/23,CASH,7144,7144,,,,,,,
SI18527,31/07/23,CASH,2300,2300,,,,,,,
SI18528,31/07/23,CASH,280,280,,,,,,,
SI18529,31/07/23,CASH,1890,1890,,,,,,,
SI18530,31/07/23,UDUPI GANESH BHAVAN,26900,26900,,,,,,,
SI18531,31/07/23,SIVA STORE (NSK),6430,6430,,,,,,,
SI18532,31/07/23,CASH,4500,4500,,,,,,,
SI18533,31/07/23,CASH,287,287,,,,,,,
SI18534,31/07/23,SEKAR STORE,3170,3170,,,,,,,
SI18535,31/07/23,S.S.S.STORE,3487,3487,,,,,,,
SI18536,31/07/23,CASH,675,675,,,,,,,
SI18537,31/07/23,CASH,870,870,,,,,,,
SI18538,31/07/23,CASH,1130,1130,,,,,,,
SI18539,31/07/23,CASH,230,230,,,,,,,
SI18540,31/07/23,CASH,885,885,,,,,,,
SI18541,31/07/23,CASH,250,250,,,,,,,
SI18542,31/07/23,CASH,793,793,,,,,,,
SI18543,31/07/23,CASH,250,250,,,,,,,
SI18544,31/07/23,CASH,204,204,,,,,,,
SI18545,31/07/23,CASH,775,775,,,,,,,
