AP SELVAM STORE,28-07-2023,1848
AP SELVAM STORE,28-07-2023,9777
ARCHANA STORE,28-07-2023,13162
ARTHI STORE(ARUM),28-07-2023,2810
ARUN STORES(KOYM),28-07-2023,20621
AST PAZHAMUDHIR NILAYAM,28-07-2023,48552
AYYANAR STORE (Y-20),28-07-2023,7654
AYYANAR STORE(CHOOLAI),28-07-2023,84343
BALAJI STORE(KOYM),28-07-2023,7293
CHANDRA STORE,28-07-2023,2910
CHANDRA SUPER MARKET,28-07-2023,8925
CHENNAI FOODS,28-07-2023,14435
DHANALAKSHMI STORE,28-07-2023,8598
DHANALAKSHMI STORE,28-07-2023,8920
DHANALAKSHMI STORE,28-07-2023,6203
GANESH STORE(SHENOY),28-07-2023,4144
GNANAM STORE,28-07-2023,10229
HOTEL SRI RAJ BHAVAN,28-07-2023,29225
INDIRA STORE (11 TH),28-07-2023,4035
ISHWARYA SWEETS,28-07-2023,9550
ISHWARYA SWEETS,28-07-2023,4925
ISMAIL STORE(KIL),28-07-2023,4033
JAMAILA STORE,28-07-2023,4183
JAYALAKSHMI SUPER  MARKET,28-07-2023,7390
JAYALAKSHMI SUPER  MARKET,28-07-2023,99843
JAYALAKSHMI SUPER  MARKET,28-07-2023,6067
JOSEPH STORE,28-07-2023,5812
KILPAUK GARDEN VEGEFURITS MARKET,28-07-2023,2000
LAKSHMAN & LAKSHMI SWEETS,28-07-2023,3455
MANGALAM SUPER MARKET,28-07-2023,18597
MANGALAM SUPER MARKET,28-07-2023,1800
MURUGAN STORE (18TH),28-07-2023,2513
MURUGAN STORES SUPER MARKET (RAJAN),28-07-2023,154704
MUTHUKRISHNA STORE,28-07-2023,37009
NEW SELVAKUMAR STORE(NEW),28-07-2023,7970
NITHYA AMIRTHAM INDIAN FOOD PRIVATE LIMITED,28-07-2023,40800
PADMA STORE,28-07-2023,2260
PADMA STORE,28-07-2023,3255
PADMANABAN STORE,28-07-2023,8513
PADMAVATHI SWEETS,28-07-2023,9895
PALLAVI STORE,28-07-2023,3620
PALLAVI STORE,28-07-2023,20300
PATTU RAJA STORE,28-07-2023,9751
PIECE OF CAKE,28-07-2023,3090
PIECE OF CAKE,28-07-2023,3060
PIECE OF CAKE,28-07-2023,1350
PONNAIAMMAN STORE,28-07-2023,6000
PRABHA STORE MMDA,28-07-2023,25956
PRABU STORE (A-121),28-07-2023,28240
RBN STORES,28-07-2023,17557
RBN STORES,28-07-2023,27128
RBN STORES,28-07-2023,6303
RBN STORES,28-07-2023,9828
REDDY ANDHRA MESS,28-07-2023,5340
RENGA STORE,28-07-2023,11958
SA SWAMY STORE,28-07-2023,32000
SAKTHI STORE (ANNA ),28-07-2023,14048
SAKTHI STORE (ANNA ),28-07-2023,9125
SARAN SWEETS,28-07-2023,3430
SARANYA STORE(CHOO),28-07-2023,3230
SARAVANA AGENCIES,28-07-2023,8000
SARAVANA AGENCIES,28-07-2023,11600
SARAVANAS SUPER MARKET,28-07-2023,91901
SARAVANAS SUPER MARKET,28-07-2023,32640
SARAVANAS SUPER MARKET,28-07-2023,5500
SEKAR STORE,28-07-2023,30000
SEKAR STORE,28-07-2023,73746
SELVA GANESH STORE,28-07-2023,3160
SELVAKUMAR PROVISION STORE,28-07-2023,11215
SELVAM STORE (NSK),28-07-2023,473
SELVAM STORE(ARUM),28-07-2023,4223
SELVI SUPER MARKET (SHENOY),28-07-2023,33839
SIVA RATHINAM TRADERS,28-07-2023,1230
SIVA STORE (THANGA COLONY),28-07-2023,2141
SIVA STORE (THANGA COLONY),28-07-2023,2859
SIVAYOGAM & CO,28-07-2023,14465
SM DURAIRAJ STORE(A-91),28-07-2023,5148
SRI KANDAN OIL STORE,28-07-2023,10971
SRIVARI SWEETS,28-07-2023,12915
TAYLORS  ROAD (VEG & FRUITS),28-07-2023,11327
THIRUPATHI STORE,28-07-2023,58545
THIRUPATHI STORE,28-07-2023,28148
THIRUPATHI STORE,28-07-2023,16775
VARADHARAJAN STORE(C-52),28-07-2023,5626
VETTA SUPER STORE,28-07-2023,10322
Total,2023-07-29 10:06:25.172691,1456341
