[12656:10904:1112/124611.438:WARNING:chrome_main_delegate.cc(660)] This is Chrome version 119.0.6045.124 (not a warning)
[12656:10904:1112/124611.582:INFO:policy_logger.cc(145)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(168) Starting CBCM Controller Initialization
[12656:10904:1112/124611.582:INFO:policy_logger.cc(145)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(196) No machine level policy manager exists.
[12656:10904:1112/124616.850:INFO:CONSOLE(197)] "initResin", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (197)
[12656:10904:1112/124616.937:INFO:CONSOLE(1654)] "Experiment flags: aida_cell_button: false, aida_complete_code_model_id: "", aida_do_conversation_model_id: "", aida_generate_code_model_id: "", aida_in_editor: false, allowed_public_url_domains: ["huggingface.co","dagshub.com"], backend_version: "next", big_left_icons: false, bq_tid: true, cell_tags: false, chat: true, classified_generate: false, classroom_iframe_parent_origin: "", client_text_compose: true, client_trim_completion_text: 100, cloud_origin: "", commands_in_toolbar: false, comment_poll_long: 900000, comment_poll_short: 60000, converse_temp: "", crawler: false, dbu: "", debug_external: "external", debug_prod: "prod", development: false, document_change_poll_interval: 30000, drive_anon_api_key: "AIzaSyB10s2vWUTwP0pj20wZoxmpZIt3rRodYeg", drive_api_key: "AIzaSyCN_sSPJMpYrAzC5AtTrltNC8oRmLtoqBk", drive_background_save_project_number: "948411933973", drive_realtime_project_number: "", enable_adhoc_backends: false, explain_cell: false, explain_error: true, external_trusted_github_org_repos_quick_add: "GoogleChrome/CrUX,google/generative-ai-docs", first_party_auth: true, generate_code: true, generate_code_prompt: true, generate_df: true, generate_fix: false, generate_temp: "", get_started: false, gis_auth: true, github_client_id: "5036cf6d81e65aaa6340", google_symbols_font: true, gpu_utilization_check_interval_ms: 600000, hats_surveys: true, ids: [20730129,20730150,20730159], import_data: false, internal_schedule: false, is_prober: false, jsraw: "compiled", key_promoter: false, local_cloud_apis: false, local_service_worker: false, log_hover_type: false, lsp_diagnostics_reporting: false, lsrp: 0, ml_banner: false, ml_enabled: false, mlpp: false, mlpp_multiline: false, mlpp_on_by_default: true, mlpp_trim_completion_text: 100, mobile: false, next_steps: false, no_fun: false, og_dark: false, outage_notification: "", outage_notification_link: "", outputframe_version: "", override_suf_params_for_test: false, quickchart_button: true, recaptcha_polling_frequency_ms: 300000, recaptcha_v2_site_key: "6LfQttQUAAAAADuPanA_VZMaZgBAOnHZNuuqUewp", recaptcha_v3_site_key: "6LfQPtEUAAAAAHBpAdFng54jyuB1V5w5dofknpip", reconnect_max_delay_seconds: 300, require_ai_consent: true, resource_poll_interval_ms: 10000, rp_lsp: false, rp_term: false, rt: false, runtime_env_overrides: "\n          [\n            [\"ENABLE_DIRECTORYPREFETCHER\", \"1\"]\n          ]\n        ", runtime_type_for_test: "", server_execution_queue: true, session_resume_coalesce: true, sheets_paste: true, show_payments_interstitial: false, show_relnotes_on_open: true, show_signup_survey: true, show_subscription_renewal_time: false, show_switch_to_prod_link: false, sql_cell: false, sql_cell_buttons: false, suspicious_code_matches: "", suspicious_code_regexs: "", term4all: false, text_compose_report_changes_millis: 10000, uds: true, unified_compose: false, unmanaged_vm_min_label_block: "", unmanaged_vm_min_label_warn: "", unmanaged_vm_min_release_tag_block: "", unmanaged_vm_min_release_tag_warn: "", use_corplogin: true, use_dm_sql_lsp: false, uxr_survey: false, verbose_warnings: false, vertex_autopush: false, vertex_staging: false, waffle: false, workstations: false", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (1654)
[12656:10904:1112/124617.008:INFO:CONSOLE(3026)] "Loading...", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (3026)
[12656:10904:1112/124617.008:INFO:CONSOLE(4281)] "Loading notebook. 1ISvpY3YSeBKvdYj99uSP3bPADZwABQvV", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (4281)
[12656:10904:1112/124621.434:INFO:CONSOLE(204)] "Service worker state: installed", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/output_binary.js (204)
[12656:10904:1112/124621.434:INFO:CONSOLE(204)] "Service worker state: activating", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/output_binary.js (204)
[12656:10904:1112/124621.437:INFO:CONSOLE(204)] "Service worker state: activated", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/output_binary.js (204)
[12656:10904:1112/124622.953:INFO:CONSOLE(204)] "Service worker state: installed", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/output_binary.js (204)
[12656:10904:1112/124622.954:INFO:CONSOLE(204)] "Service worker state: activating", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/output_binary.js (204)
[12656:10904:1112/124622.956:INFO:CONSOLE(204)] "Service worker state: activated", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/output_binary.js (204)
[12656:10904:1112/124623.589:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[12656:10904:1112/124624.094:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[12656:10904:1112/124624.192:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[12656:10904:1112/124625.292:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[12656:10904:1112/124626.287:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[12656:10904:1112/124626.468:INFO:CONSOLE(601)] "%c WARN color: #993 [suggest] did IGNORE invalid completion item from undefined [object Object]", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/js/monaco_editor/vs/editor/editor.main.js (601)
[12656:10904:1112/124627.861:INFO:CONSOLE(1890)] "Detected removal of the top Blocking Element.", source: https://ssl.gstatic.com/colaboratory-static/common/3920a060e05a059554d993d9f313d3ae/external_polymer_binary.js (1890)
